,peso
0,
1,1.2367021409369774
2,1.082169965922149
3,0.8926968363905772
4,
5,0.8124795013874666
6,
7,0.9937482825909798
8,0.926321759298577
9,0.8511127035520101
10,0.9937482825909798
11,
12,0.9596977388139318
13,0.997714525169119
14,1.1244312839997057
15,0.8473749268196734
16,0.9009195304158544
17,0.7349238618495183
18,
19,0.9889392596674208
20,0.8618727111611928
21,0.7191350531930303
22,1.2402654936186772
23,
24,0.9009195304158544
25,1.029288822525004
26,0.7541282131761298
27,0.7875285116223916
28,
29,1.2402901920113742
30,0.9236548699651753
31,
32,
33,0.926321759298577
34,0.9937482825909798
35,1.0301932608479154
36,
37,0.6757609099626876
38,0.9236548699651753
39,0.6571803963341273
40,1.029288822525004
41,0.9537227316863892
42,0.8526836722854503
43,
44,1.2011877644938567
45,1.0008527264000777
46,0.8473749268196734
47,0.6550907910344276
48,1.3331987179556348
49,0.9937482825909798
50,1.1244312839997057
51,
52,1.092970861021536
53,1.1484626547613603
54,0.9009195304158544
55,1.487110108026502
56,
57,0.9537227316863892
58,1.0136492983706644
59,
60,
61,1.2090075107021139
62,1.1484626547613603
63,0.8618727111611928
64,1.487110108026502
65,
66,0.9355698273196454
67,0.9632642210867892
68,0.9319825951894087
69,1.2841815306603723
70,
71,1.295760141590918
72,0.9025114814081737
73,1.082169965922149
74,0.9537227316863892
75,1.2402901920113742
76,0.8034224825105569
77,0.6980427497875874
78,
79,
80,1.295760141590918
81,0.8625376373025968
82,0.8074210641155689
83,0.9206557723349933
84,0.8906159414950875
85,1.2706102985109358
86,0.9697133035586962
87,
88,0.8205792731105044
89,
90,1.0241591779693002
91,1.0136492983706644
92,
93,
94,
95,0.677652978685357
96,0.621714775610127
97,
98,
99,0.9646531948375049
100,1.1320600098667362
101,1.3331987179556348
102,1.2011877644938567
103,
104,
105,1.1203001288607153
106,
107,
108,
109,0.8127042159920195
110,
111,
112,1.4402262290889656
113,
114,
115,0.8861709220453228
116,0.8861709220453228
117,0.9624185418247031
118,
119,0.8389969648612824
120,
121,0.926321759298577
122,1.2011877644938567
123,0.9641660619126089
124,1.0008527264000777
125,1.029288822525004
126,
127,1.2480605245108263
128,0.9937482825909798
129,
130,1.0756972254868906
131,0.7971473374353616
132,0.8206598750765046
133,
134,1.4567618975051762
135,1.2402901920113742
136,0.8473749268196734
137,1.1188394442441143
138,
139,
140,0.8618727111611928
141,
142,0.8618727111611928
143,
144,0.8347005901248613
145,
146,0.9937482825909798
147,0.9937482825909798
148,
149,
150,0.8926968363905772
151,1.1188394442441143
152,
153,0.9624185418247031
154,
155,1.082169965922149
156,1.1122552591021588
157,0.9937482825909798
158,
159,0.9498153753472102
160,0.9615714266005845
161,0.9624185418247031
162,0.7971473374353616
163,1.029288822525004
164,0.8618727111611928
165,0.926321759298577
166,
167,1.0598416311805414
168,
169,0.8861709220453228
170,0.9937482825909798
171,0.9498153753472102
172,1.4663143335227586
173,0.9355698273196454
174,
175,0.8982895204935731
176,
177,0.7816500057520459
178,0.8205792731105044
179,1.2259146761748467
180,0.9537227316863892
181,
182,
183,
184,
185,
186,0.8127042159920195
187,1.138983064026532
188,
189,
190,0.8473749268196734
191,0.8610722600810273
192,0.699712707617278
193,0.9331401310538795
194,1.155261175771433
195,1.029288822525004
196,
197,0.8618727111611928
198,0.9889392596674208
199,0.8074210641155689
200,0.8618727111611928
201,0.9937482825909798
202,0.8127042159920195
203,1.540295303016531
204,0.8961955889351001
205,0.9609299314846306
206,0.8127042159920195
207,1.029288822525004
208,
209,0.9937482825909798
210,
211,0.8625376373025968
212,1.3320282618301675
213,0.872516386648287
214,1.226782327131475
215,0.8206598750765046
